date,user,view
2017/10/3,1755,3894
2017/10/4,1673,3273
2017/10/5,1636,3056
2017/10/6,1480,3167
2017/10/7,856,1580
2017/10/8,708,1369
2017/10/9,1205,2472
2017/10/10,1884,3782
2017/10/11,1830,3380
2017/10/12,1951,3777
2017/10/13,1612,3019
2017/10/14,816,1524
2017/10/15,1038,1974
2017/10/16,2067,3923
2017/10/17,2226,4247
2017/10/18,2263,4138
2017/10/19,2180,4193
2017/10/20,1959,3696
2017/10/21,884,1696
2017/10/22,1092,2129
2017/10/23,2076,4106
2017/10/24,2263,4312
2017/10/25,2001,3811
2017/10/26,2028,3620
2017/10/27,1860,3472
2017/10/28,973,2001
2017/10/29,1188,2253
2017/10/30,2302,4301
2017/10/31,2381,4359
2017/11/1,2008,3798
2017/11/2,1883,3447
2017/11/3,1152,2196
2017/11/4,1062,1899
2017/11/5,1258,2276
2017/11/6,2438,4482
2017/11/7,2791,4948
2017/11/8,2545,4667
2017/11/9,2564,4748
2017/11/10,2392,4237
2017/11/11,1200,2274
2017/11/12,1400,2704
2017/11/13,2958,5445
2017/11/14,3154,5732
2017/11/15,2890,5158
2017/11/16,2800,5209
2017/11/17,2478,4481
2017/11/18,1331,2426
2017/11/19,1385,2576
2017/11/20,2909,5359
2017/11/21,2894,5295
2017/11/22,2529,4785
2017/11/23,1799,3205
2017/11/24,2540,4512
2017/11/25,1461,2885
2017/11/26,1655,3065
2017/11/27,3048,5688
2017/11/28,3415,6176
2017/11/29,3108,5382
2017/11/30,3184,5813
2017/12/1,2649,4947
2017/12/2,1352,2585
2017/12/3,1582,3053
2017/12/4,3132,5821
2017/12/5,3430,6327
2017/12/6,3118,5577
2017/12/7,3133,5740
2017/12/8,2928,5270
2017/12/9,1437,2569
2017/12/10,1600,3211
2017/12/11,3211,5843
2017/12/12,3450,6241
2017/12/13,3436,6281
2017/12/14,3199,5919
2017/12/15,2748,4998
2017/12/16,1461,2779
2017/12/17,1653,3038
2017/12/18,3380,6104
2017/12/19,3387,6329
2017/12/20,3234,5980
2017/12/21,3064,5912
2017/12/22,2727,4969
2017/12/23,1122,2015
2017/12/24,1119,2065
2017/12/25,2373,4585
2017/12/26,2287,4460
2017/12/27,2022,4037
2017/12/28,1733,3486
2017/12/29,1111,2118
2017/12/30,1085,2042
2017/12/31,951,1994
2018/1/1,834,1707
2018/1/2,1066,2067
2018/1/3,1225,2484
2018/1/4,1895,3578
2018/1/5,2299,4249
2018/1/6,1651,2991
2018/1/7,1710,3338
2018/1/8,2288,4257
2018/1/9,3756,6830
2018/1/10,3890,7163
2018/1/11,3554,6537
2018/1/12,3023,5636
2018/1/13,1890,3365
2018/1/14,2346,4351
2018/1/15,4238,7576
2018/1/16,4243,7437
2018/1/17,4274,7613
2018/1/18,4333,8148
2018/1/19,4100,7414
2018/1/20,2504,4483
2018/1/21,3114,5728
2018/1/22,4513,7991
2018/1/23,4783,8853
2018/1/24,4700,8583
2018/1/25,4557,8872
2018/1/26,4095,7313
2018/1/27,2753,5319
2018/1/28,3211,6119
2018/1/29,4965,8835
2018/1/30,4431,7756
2018/1/31,3996,7836
2018/2/1,3694,6919
2018/2/2,3308,6070
2018/2/3,2125,3853
2018/2/4,2546,4618
2018/2/5,3742,7202
2018/2/6,3579,6523
2018/2/7,3480,6393
2018/2/8,3511,6278
2018/2/9,2913,5384
2018/2/10,1588,2912
2018/2/11,1639,2931
2018/2/12,2031,3967
2018/2/13,2922,5554
2018/2/14,2782,5381
2018/2/15,2871,5478
2018/2/16,2478,4835
2018/2/17,1552,2980
2018/2/18,1698,3564
2018/2/19,2567,4858
2018/2/20,2693,5114
2018/2/21,2610,4752
2018/2/22,2567,5043
2018/2/23,2230,4167
2018/2/24,1354,2791
2018/2/25,2043,4220
2018/2/26,2914,5768
2018/2/27,2722,5725
2018/2/28,2497,5066
2018/3/1,2340,4725
2018/3/2,2088,4134
2018/3/3,1242,2602
2018/3/4,1422,3073
2018/3/5,2258,4502
2018/3/6,2468,5022
2018/3/7,2425,4821
2018/3/8,2439,4890
2018/3/9,2024,4010
2018/3/10,1258,2465
2018/3/11,1294,2571
2018/3/12,2415,5032
2018/3/13,2554,5089
2018/3/14,2232,4492
2018/3/15,2239,4269
2018/3/16,1913,3804
2018/3/17,1409,2833
2018/3/18,1501,2990
2018/3/19,1926,3605
2018/3/20,1974,3850
2018/3/21,1389,2845
2018/3/22,1826,3723
2018/3/23,1748,3504
2018/3/24,1024,2108
2018/3/25,1040,2231
2018/3/26,1777,3377
2018/3/27,1882,3829
2018/3/28,1824,3753
2018/3/29,2006,3776
2018/3/30,1683,3169
2018/3/31,976,1890
2018/4/1,982,1972
2018/4/2,1796,3504
2018/4/3,1945,3764
2018/4/4,2001,3863
2018/4/5,2039,3817
2018/4/6,1998,4036
2018/4/7,1150,2273
2018/4/8,1202,2542
2018/4/9,2415,4778
2018/4/10,2707,5062
2018/4/11,2625,4927
2018/4/12,3000,5878
2018/4/13,2722,5092
2018/4/14,1363,2693
